2024-06-16 20:37:16.721 WARN Main : WARN
2024-06-16 20:37:16.732 ERROR Main : ERROR
2024-06-16 20:37:16.733 FATAL Main : FATAL
2024-06-16 20:37:16.742 WARN Main : waiting for link to connect
2024-06-16 20:37:17.450 INFO osc.OSCUtil : creating buttons for group 1 layer 3 (3)
2024-06-16 20:37:17.450 INFO osc.OscSynced : creating synced value for /composition/layers/3/connectspecificclip
2024-06-16 20:37:17.450 INFO osc.OSCUtil : creating buttons for group 2 layer 1 (4)
2024-06-16 20:37:17.450 INFO osc.OscSynced : creating synced value for /composition/layers/4/connectspecificclip
2024-06-16 20:37:17.451 INFO osc.OSCUtil : creating buttons for group 2 layer 2 (5)
2024-06-16 20:37:17.451 INFO osc.OscSynced : creating synced value for /composition/layers/5/connectspecificclip
2024-06-16 20:37:17.451 INFO osc.OSCUtil : creating buttons for group 2 layer 3 (6)
2024-06-16 20:37:17.451 INFO osc.OscSynced : creating synced value for /composition/layers/6/connectspecificclip
2024-06-16 20:37:17.451 INFO osc.OSCUtil : resolume group 2 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.451 INFO osc.OSCUtil : creating buttons for group 3 layer 1 (7)
2024-06-16 20:37:17.451 INFO osc.OSCUtil : resolume group 1 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.451 INFO osc.OSCUtil : resolume group 2 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.451 INFO osc.OSCUtil : resolume group 1 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.453 INFO osc.OscSynced : creating synced value for /composition/layers/7/connectspecificclip
2024-06-16 20:37:17.453 INFO osc.OSCUtil : resolume group 2 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.453 INFO osc.OscSynced : creating synced value for /composition/layers/8/connectspecificclip
2024-06-16 20:37:17.453 INFO osc.OSCUtil : creating buttons for group 3 layer 2 (8)
2024-06-16 20:37:17.453 INFO osc.OSCUtil : resolume group 3 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.453 INFO osc.OSCUtil : resolume group 1 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.453 INFO osc.OSCUtil : creating buttons for group 3 layer 3 (9)
2024-06-16 20:37:17.453 INFO osc.OSCUtil : resolume group 3 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.453 INFO osc.OscSynced : creating synced value for /composition/layers/9/connectspecificclip
2024-06-16 20:37:17.454 INFO osc.OscSynced : creating synced value for /composition/layers/10/connectspecificclip
2024-06-16 20:37:17.454 INFO osc.OSCUtil : creating buttons for group 4 layer 1 (10)
2024-06-16 20:37:17.454 INFO osc.OSCUtil : resolume group 4 layer 1 connectSpecificClip index -1
2024-06-16 20:37:17.454 INFO osc.OscSynced : creating synced value for /composition/layers/11/connectspecificclip
2024-06-16 20:37:17.454 INFO osc.OSCUtil : resolume group 3 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.454 INFO osc.OSCUtil : creating buttons for group 4 layer 2 (11)
2024-06-16 20:37:17.454 INFO osc.OSCUtil : creating buttons for group 4 layer 3 (12)
2024-06-16 20:37:17.454 INFO osc.OscSynced : creating synced value for /composition/layers/12/connectspecificclip
2024-06-16 20:37:17.454 INFO osc.OSCUtil : resolume group 4 layer 2 connectSpecificClip index -1
2024-06-16 20:37:17.455 INFO osc.OSCUtil : resolume group 4 layer 3 connectSpecificClip index -1
2024-06-16 20:37:17.454 INFO osc.OSCUtil : creating buttons for group 5 layer 1 (13)
2024-06-16 20:37:17.454 INFO osc.OscSynced : creating synced value for /composition/layers/13/connectspecificclip
